code,name,wac,city,state,country,globalregion,latitude,longitude
IUE,Hanan International,852,Niue Island,,Niue,Australasia,-19.0833,-169.9333
IUI,Heliport,975,Innarsuit,,Greenland,North America,73.2025,-56.0111
IUL,Ilu,732,Ilu,,Indonesia,Asia,-3.75,138.0833
IUM,Summit Lake Airport,906,Summit Lake,British Columbia,Canada,North America,54.3333,-122.6667
IUO,Railway Station,713,Xianning,,China,Asia,29.8819,114.2836
IUS,Inus Airport,804,Inus,,Papua New Guinea,Australasia,-5.8167,155.1667
IVA,Ampampamena,541,Ambanja,,Madagascar,Africa,-13.6422,48.4578
IVC,Invercargill,851,Invercargill,,New Zealand,Australasia,-46.4125,168.3208
IVG,Dolac Airport,459,Ivangrad,,Montenegro,Europe,42.85,19.8667
IVH,Ivishak Airport,1,Ivishak,Alaska,United States,North America,69.4,-148.25
IVI,Viveros Island,162,Viveros Island,,Panama,Central America,8.47167,-79.00056
IVL,Ivalo,425,Ivalo,,Finland,Europe,68.6111,27.4156
IVO,Chivolo Airport,327,Chivolo,,Colombia,South America,9.5167,-74.5333
IVR,Inverell,802,Inverell,New South Wales,Australia,Australasia,-29.89,151.145
IVW,Inverway,802,Inverway,Northern Territory,Australia,Australasia,-17.7667,129.2333
IWA,Yuzhny,475,Ivanovo,Central Federal District,Russian Federation,Europe,57,41
IWD,Gogebic-Iron County,43,Ironwood,Michigan,United States,North America,46.5256,-90.1317
IWJ,Iwami,736,Iwami,,Japan,Asia,34.6731,131.7931
IWK,Iwakuni Airport,736,Iwakuni,,Japan,Asia,34.1353,132.2356
IWO,Iwoto (Iwo Jima),736,Iwoto (Iwo Jima),,Japan,Asia,24.7867,141.3242
IWS,West Houston Airport,74,Houston,Texas,United States,North America,29.8167,-95.6667
IXA,Agartala Airport,733,Agartala,,India,Asia,23.89,91.2422
IXB,Bagdogra,733,Bagdogra,,India,Asia,26.6806,88.3306
IXC,Chandigarh,733,Chandigarh,,India,Asia,30.6719,76.7906
IXD,Allahabad,733,Allahabad,,India,Asia,25.4397,81.7361
IXE,Mangalore Airport,733,Mangalore,,India,Asia,12.9639,74.8939
IXG,Sambre,733,Belgaum,,India,Asia,15.8586,74.6183
IXH,Kailashahar,733,Kailashahar,,India,Asia,24.3072,92.0089
IXI,Lilabari,733,Lilabari,,India,Asia,27.2903,94.0889
IXJ,Satwari,733,Jammu,,India,Asia,32.6903,74.8389
IXK,Keshod,733,Keshod,,India,Asia,21.3194,70.2708
IXL,Kushok Bakula Rimpoche,733,Leh,,India,Asia,34.1358,77.5492
IXM,Madurai,733,Madurai,,India,Asia,9.8325,78.0881
IXN,Khowai Airport,733,Khowai,,India,Asia,24.0639,91.6033
IXP,Pathankot,733,Pathankot,,India,Asia,32.2333,75.6333
